City,Latitude,Longitude,Temperature,Max Temperature,Humidity,Cloudiness,Wind Speed
aberdeen,57.14,-2.1,35.62,42.01,69,0,10.29
abha,18.22,42.51,50.09,51.8,50,26,1.63
abilene,32.45,-99.73,40.84,44.6,55,1,8.05
abiramam,32.45,-99.73,39.45,41,52,1,8.05
ahipara,9.47,78.45,78.8,78.8,78,40,3.36
airai,-35.17,173.17,87.01,87.01,57,0,1.99
akdepe,-35.17,173.17,88,88,57,0,1.99
aklavik,-8.93,125.41,83.43,83.43,53,38,3.83
aksu,42.06,59.38,32,32,96,90,4.7
aktau,42.06,59.38,32,32,96,90,5.88
albany,68.22,-135.01,-13.22,-7.6,63,5,9.17
alekseyevsk,68.22,-135.01,-7.6,-7.6,63,5,9.17
alofi,41.12,80.26,20.64,20.64,79,0,2.1
alta floresta,43.65,51.2,30.2,30.2,92,90,13.42
alyangula,43.65,51.2,30.2,30.2,92,90,15.66
ambon,42.6,-73.97,21.74,26.01,73,90,12.75
amherst,42.6,-73.97,22.41,26.01,73,90,14.99
amuntai,57.84,108.35,12.47,12.47,93,100,11.1
ancud,-19.06,-169.92,82.31,82.31,82,100,37.16
anshun,-9.88,-56.09,75.51,75.51,88,65,1.5
antofagasta,-13.85,136.42,91.4,91.4,63,50,10.29
aqtobe,-3.7,128.18,89.6,89.6,59,20,10.29
aripuana,41.4,-82.22,35.6,37,69,90,19.46
arman,-2.42,115.25,87.21,87.21,67,100,2.53
arraial do cabo,-41.87,-73.82,57.2,57.2,62,0,13.87
asau,26.25,105.93,42.35,42.35,66,87,5.75
asfi,-23.65,-70.4,70.84,72,77,20,4.7
aswan,-23.65,-70.4,70.93,72,77,20,4.7
asyut,50.28,57.21,24.8,24.8,92,90,4.47
atambua,-9.17,-60.63,77.13,77.13,81,65,1.28
atar,59.7,150.17,3.65,3.65,91,100,6.55
atasu,-22.97,-42.03,75.13,75.13,79,25,11.23
atchison,46.43,26.4,25.79,28,92,0,8.05
atuona,32.3,-9.24,51.1,51.1,78,0,5.23
avarua,24.09,32.91,47.3,47.3,70,67,9.66
avera,27.18,31.18,45.23,45.23,67,0,8.34
aykhal,-9.11,124.89,83.25,83.25,73,43,5.59
babushkin,20.52,-13.05,59.99,59.99,28,66,17.05
bad wurzach,48.68,71.64,18.57,18.57,96,100,2.57
bairiki,39.56,-95.12,26.8,30.2,58,1,9.17
bama,39.56,-95.12,26.28,30.2,58,1,9.17
bambous virieux,-9.8,-139.03,81.28,81.28,75,50,17.22
banda aceh,-21.21,-159.78,80.6,80.6,94,100,12.75
bandarbeyla,-21.21,-159.78,82.4,82.4,88,100,11.41
barra do corda,33.19,-82.53,58.37,62.6,93,90,13.15
barra do garcas,66,111.5,-2.2,-2.2,84,75,4.47
barrhead,51.71,105.86,1.49,1.49,84,100,17.96
barrow,47.9,9.9,31.86,34,96,96,2.46
baruun-urt,47.9,9.9,31.77,35.6,96,96,2.46
batagay-alyta,1.33,172.98,89.6,89.6,70,40,9.17
bathsheba,11.52,13.69,59.97,59.97,60,0,6.8
bay roberts,-20.34,57.76,79.92,80.6,88,75,4.7
bay-khaak,-20.34,57.76,79.86,80.6,88,75,4.7
